"ID","VERTEX","LAT","LON"
3305,"3","41.2","-70.6"
3305,"4","40.47","-70.6"
3306,"1","42.67","-71.25"
3306,"2","42.67","-70.34"
3306,"3","42.03","-70.35"
3306,"4","42.03","-71.25"
3315,"1","39.99","-70.93"
3315,"2","40.65","-70.93"
3315,"3","40.65","-71.79"
3315,"4","39.99","-71.79"
3321,"1","40.12","-70.49"
3321,"2","40.78","-70.49"
3321,"3","40.78","-71.36"
3321,"4","40.12","-71.36"
3329,"1","39.99","-70.93"
3329,"2","40.65","-70.93"
3329,"3","40.65","-71.79"
3329,"4","39.99","-71.79"
3331,"1","40.12","-70.49"
3331,"2","40.78","-70.49"
3331,"3","40.78","-71.36"
3331,"4","40.12","-71.36"
3366,"1","40.067","-70.017"
3366,"2","40.733","-70.017"
3366,"3","40.733","-70.85"
3366,"4","40.067","-70.85"
3365,"1","40.083","-68.3"
3365,"2","40.8","-68.3"
3365,"3","40.8","-69.333"
3365,"4","40.083","-69.333"
3367,"1","39.99","-70.93"
3367,"2","40.65","-70.93"
3367,"3","40.65","-71.79"
3367,"4","39.99","-71.79"
3368,"1","40.12","-70.49"
3368,"2","40.78","-70.49"
3368,"3","40.78","-71.36"
3368,"4","40.12","-71.36"
3369,"1","40.067","-70.017"
3369,"2","40.733","-70.017"
3369,"3","40.733","-70.85"
3369,"4","40.067","-70.85"
3385,"1","40.900","-69.650"
3385,"2","41.567","-69.650"
3385,"3","41.567","-70.533"
3385,"4","40.900","-70.533"
3386,"1","41.24","-70.53"
3386,"2","41.24","-69.54"
3386,"3","40.49","-69.54"
3386,"4","40.49","-70.52"
3387,"1","41.24","-70.53"
3387,"2","41.24","-69.54"
3387,"3","40.49","-69.54"
3387,"4","40.49","-70.52"
3388,"1","41.24","-70.53"
3388,"2","41.24","-69.54"
3388,"3","40.49","-69.54"
3388,"4","40.49","-70.52"
3389,"1","41.39","-70.16"
3389,"2","41.39","-69.24"
3389,"3","40.72","-69.24"
3389,"4","40.72","-70.15"
3390,"1","41.39","-70.16"
3390,"2","41.39","-69.24"
3390,"3","40.72","-69.24"
3390,"4","40.72","-70.15"
3391,"1","41.02","-69.94"
3391,"2","41.02","-69.16"
3391,"3","40.41","-69.16"
3391,"4","40.41","-69.94"
3392,"1","41.02","-69.94"
3392,"2","41.02","-69.16"
3392,"3","40.41","-69.16"
3392,"4","40.41","-69.94"
3393,"1","41.17","-70.71"
3393,"2","41.17","-69.7"
3393,"3","40.47","-69.7"
3393,"4","40.47","-70.7"
3395,"1","41.58","-70.61"
3395,"2","41.58","-69.59"
3395,"3","40.86","-69.59"
3395,"4","40.86","-70.61"
3396,"1","41.18","-70.62"
3396,"2","41.18","-69.54"
3396,"3","40.36","-69.54"
3396,"4","40.36","-70.62"
3397,"1","41.18","-70.62"
3397,"2","41.18","-69.54"
3397,"3","40.36","-69.54"
3397,"4","40.36","-70.62"
3398,"1","41.18","-70.62"
3398,"2","41.18","-69.54"
3398,"3","40.36","-69.54"
3398,"4","40.36","-70.62"
3399,"1","41.18","-70.62"
3399,"2","41.18","-69.54"
3399,"3","40.36","-69.54"
3399,"4","40.36","-70.62"
3400,"1","41.03","-70.02"
3400,"2","41.03","-68.97"
3400,"3","40.25","-68.98"
3400,"4","40.25","-70.02"
3401,"1","41.18","-70.62"
3401,"2","41.18","-69.54"
3401,"3","40.36","-69.54"
3401,"4","40.36","-70.62"
3402,"1","41.03","-70.02"
3402,"2","41.03","-68.97"
3402,"3","40.25","-68.98"
3402,"4","40.25","-70.02"
3403,"1","41.18","-70.62"
3403,"2","41.18","-69.54"
3403,"3","40.36","-69.54"
3403,"4","40.36","-70.62"
3404,"1","42.73","-71.08"
3404,"2","42.73","-70.19"
3404,"3","42.07","-70.19"
3404,"4","42.07","-71.08"
3405,"1","42.75","-71.17"
3405,"2","42.75","-70.19"
3405,"3","42.07","-70.19"
3405,"4","42.07","-71.16"
3406,"1","42.75","-71.17"
3406,"2","42.75","-70.19"
3406,"3","42.07","-70.19"
3406,"4","42.07","-71.16"
3407,"1","42.79","-71.39"
3407,"2","42.79","-70.43"
3407,"3","42.08","-70.43"
3407,"4","42.08","-71.38"
3408,"1","42.79","-71.39"
3408,"2","42.79","-70.43"
3408,"3","42.08","-70.43"
3408,"4","42.08","-71.38"
3409,"1","41.27","-70.47"
3409,"2","41.27","-69.62"
3409,"3","40.54","-69.63"
3409,"4","40.54","-70.46"
3410,"1","41.27","-70.47"
3410,"2","41.27","-69.62"
3410,"3","40.54","-69.63"
